FID;osm_id;name
france_hiking_foot_routes_line.9731546;9731546;
france_hiking_foot_routes_line.9722066;9722066;Boucle de Frisange
france_hiking_foot_routes_line.9720391;9720391;Les rhododendrons
france_hiking_foot_routes_line.9719816;9719816;Piste aux empreintes
france_hiking_foot_routes_line.9719815;9719815;Boucle du Chaintreau
france_hiking_foot_routes_line.9718297;9718297;Circuit de la croix de Frésimont
france_hiking_foot_routes_line.9715927;9715927;Le Sentier de la Forêt
france_hiking_foot_routes_line.9711201;9711201;Tour du Queyras
france_hiking_foot_routes_line.9709154;9709154;La Rigaudière
france_hiking_foot_routes_line.9701114;9701114;Accès GR 2
france_hiking_foot_routes_line.9699543;9699543;GR-T 46 GR transfronterizo
france_hiking_foot_routes_line.9695640;9695640;Pujols-sur-Ciron : boucle locale
france_hiking_foot_routes_line.9680381;9680381;PR-HU 114 Senda de los Puertos
france_hiking_foot_routes_line.9678726;9678726;Tour Du Mont Blanc - Variante de Vallorcine
france_hiking_foot_routes_line.9678501;9678501;Tour Du Mont Blanc - Variante du Tour
france_hiking_foot_routes_line.9678437;9678437;Tour Du Mont Blanc - Variante des Grands
france_hiking_foot_routes_line.9678362;9678362;Tour Du Mont Blanc - Itinéraire Principal
france_hiking_foot_routes_line.9678324;9678324;Sentier des Écureuils
france_hiking_foot_routes_line.9678309;9678309;Boucle de Saint-Georges-de-Monclard
france_hiking_foot_routes_line.9678296;9678296;Tour Du Mont Blanc - Variante du Col des Fours
france_hiking_foot_routes_line.9678267;9678267;Tour Du Mont Blanc - Variante du Col de Tricot
france_hiking_foot_routes_line.9678237;9678237;Sentier de la Garde du Mont Cornet
france_hiking_foot_routes_line.9678236;9678236;Sentier des Glacières
france_hiking_foot_routes_line.9678201;9678201;Sentier de Colliard
france_hiking_foot_routes_line.9677968;9677968;GR-T 39
france_hiking_foot_routes_line.9677267;9677267;Circuit des Etangs de Givry
france_hiking_foot_routes_line.9677139;9677139;Circuit des Forêts et Champs
france_hiking_foot_routes_line.9669286;9669286;PR-HU 188 Puente del Hospital - Puerto de Plan
france_hiking_foot_routes_line.9668016;9668016;PR-HU 182 Camino al Puerto Viejo de Bielsa
france_hiking_foot_routes_line.9662991;9662991;PR-HU 181 Camino al Puerto de Salcorz
france_hiking_foot_routes_line.9662953;9662953;PR-HU 180 Subida al Puerto Trigoniero
france_hiking_foot_routes_line.9660579;9660579;Sentier Xavier Thiriat
france_hiking_foot_routes_line.9660578;9660578;Circuit du Trou de l’Enfer
france_hiking_foot_routes_line.9660577;9660577;
france_hiking_foot_routes_line.9660576;9660576;
france_hiking_foot_routes_line.9660575;9660575;Champdray-Gerardmer
france_hiking_foot_routes_line.9659922;9659922;Sentier du bois de Malaumont
france_hiking_foot_routes_line.9659808;9659808;
france_hiking_foot_routes_line.9659806;9659806;Circuit du Haut du Roc par la Burotte
france_hiking_foot_routes_line.9659805;9659805;Tour du Haut du Roc
france_hiking_foot_routes_line.9659804;9659804;Tour de Sarimont
france_hiking_foot_routes_line.9659803;9659803;Circuit des Points de Vue
france_hiking_foot_routes_line.9659802;9659802;
